"","X49041_Reb_TAM","X49041_Reb_TC","X49059_Reb_TAM","X49059_Reb_TC","X49827_Reb_TAM","X49827_Reb_TC","X49849_Reb_TAM","X49849_Reb_TC","X49823_EP_TAM","X49823_EP_TC","X49825_EP_TAM","X49825_EP_TC","X49830_EP_TAM","X49830_EP_TC","X49831_EP_TAM","X49831_EP_TC","X49843_EP_TAM","X49843_EP_TC","X49845_EP_TAM","X49845_EP_TC","X54359_Veh_TAM","X54359_Veh_TC","X54363_Veh_TAM","X54363_Veh_TC","X57098_Veh_TAM","X57098_Veh_TC","X57682_Veh_TAM","X57682_Veh_TC","X64247_Veh_TAM","X64247_Veh_TC"
"Anks6",38,108,0,146,42,32,16,110,54,24,116,6,64,8,42,10,60,6,80,8,59,127,102,42,50,118,46,129,103,107
"Galnt12",80,2,52,4,80,6,78,12,290,44,224,38,216,30,182,56,126,18,310,72,96,0,103,0,158,18,106,14,83,0
"Col15a1",218,4588,270,1486,184,32,242,750,382,26,234,32,338,10,142,34,222,50,394,4,269,36,418,14,251,19,267,51,148,14
"E130309F12Rik",2,1050,10,774,10,318,14,1324,0,54,2,28,4,38,0,4,0,82,14,10,19,693,0,397,4,2426,1,1904,1,596
"AI427809",446,6,282,0,572,56,1074,14,8,30,70,54,2,0,8,30,190,14,42,10,134,109,171,1,134,20,478,33,267,23
"Zfp462",32,1786,24,1348,36,514,20,1752,12,56,12,136,2,56,2,46,2,198,18,128,16,844,16,617,9,2264,12,2154,13,857
"6430704M03Rik",6,526,22,998,2,472,4,1006,12,130,4,166,14,34,2,66,2,68,14,70,5,447,1,580,4,1133,4,1781,31,300
"Palm2",24,54,8,52,12,76,2,116,2,20,12,14,8,2,4,42,6,2,8,70,2,15,0,70,3,68,1,40,6,62
"Tnfsf8",148,18,250,156,54,160,70,40,26,38,40,84,52,44,32,60,10,4,10,2,20,4,12,2,162,1,138,3,147,0
"Dbc1",106,4098,24,2120,28,692,16,1958,48,88,8,158,22,112,8,60,6,162,6,452,24,1646,20,761,9,2917,5,2956,33,1403
"Megf9",148,400,108,396,56,164,94,570,72,48,78,34,76,36,36,16,36,62,100,124,7,276,9,127,37,270,25,319,18,221
"C630043F03Rik",70,784,48,270,32,228,12,324,6,80,22,56,4,4,2,56,12,44,40,196,18,36,30,109,18,243,22,119,29,304
"Nfib",128,6212,110,3352,98,2144,62,5972,86,902,20,1128,36,894,24,624,14,606,30,1056,93,2082,59,1924,62,5733,35,6162,160,2284
"Haus6",154,236,196,416,120,178,176,500,188,76,230,162,92,46,20,30,148,30,206,16,30,113,197,379,240,602,260,448,213,294
"Cdkn2a",20,94,6,192,24,78,12,176,38,26,42,10,26,12,18,10,66,16,48,6,12,104,23,46,37,303,33,124,35,225
"Cdkn2b",86,552,194,1676,52,240,134,706,70,66,26,56,76,28,28,32,50,10,58,48,143,979,101,452,105,1004,62,902,114,1002
"Gm12657",4,14,4,16,0,16,4,14,6,4,14,2,10,2,2,12,6,8,4,4,4,10,11,7,12,9,11,7,1,15
"Cyp2j6",124,4848,80,3606,36,1152,42,4472,42,508,18,510,2,150,4,168,6,314,10,870,4,2461,3,927,21,6981,22,6300,36,3551
"Dhcr24",138,200,84,634,46,140,26,724,384,232,538,144,90,58,140,110,252,56,486,376,49,277,32,75,46,881,12,501,64,537
"Podn",0,20,0,2,2,4,0,8,0,42,0,74,2,74,0,70,0,38,0,60,0,14,0,1,0,5,0,10,0,0
"Orc1",88,64,24,108,40,38,68,248,146,34,260,20,70,16,108,6,154,2,388,2,11,87,193,66,186,412,167,360,134,188
"Zfyve9",8,68,2,22,12,40,18,84,56,6,16,22,40,2,6,8,14,10,12,10,19,143,12,136,29,104,20,89,36,27
"Rab3b",36,1102,56,1008,74,1204,62,1628,34,78,12,104,22,18,4,68,26,260,10,46,61,1485,11,1432,24,2326,21,2080,77,908
"Elavl4",148,2542,58,1872,132,610,74,1758,112,52,292,92,140,8,52,52,90,182,90,56,78,467,28,593,190,2052,75,2424,56,1314
"Bend5",0,206,8,98,38,36,10,112,22,28,52,48,54,2,30,32,28,22,42,42,27,17,18,76,27,123,26,120,36,314
"Gm12824",116,8,0,2,4,46,10,10,0,140,2,278,0,254,2,182,0,60,0,130,1,68,0,21,3,161,1,18,3,10
"Stil",286,730,14,712,112,182,108,1102,454,186,394,28,138,28,114,34,366,66,560,32,28,171,176,214,964,1063,609,876,533,368
"Pdzk1ip1",46,14,20,0,86,6,54,2,10,122,12,124,10,98,28,58,26,24,12,242,163,0,103,0,50,22,76,5,116,4
"Zswim5",6,344,16,494,2,44,24,484,34,138,24,28,12,20,52,10,48,10,48,30,65,637,13,284,69,558,67,635,58,314
"Tctex1d4",38,10,24,4,26,12,42,0,6,142,8,30,16,16,8,28,4,14,12,280,33,0,28,1,35,3,49,2,31,1
"Kif2c",466,1494,462,2138,336,148,558,2124,740,282,514,14,600,8,414,62,620,190,814,34,529,1272,1151,509,2314,1821,2107,2617,2338,1621
"B4galt2",24,362,4,568,18,506,16,780,36,80,20,16,2,78,0,64,10,56,28,174,2,627,7,480,22,1113,8,1013,16,474
"Ptprf",42,974,54,1596,20,380,66,1722,2,336,6,318,2,178,10,108,10,118,8,800,10,1025,25,224,26,1364,24,1776,44,1306
"Cdc20",86,508,24,1178,102,92,52,1430,308,166,344,54,290,38,154,60,284,180,552,36,130,1117,384,604,286,1140,191,1439,577,2821
"Mycl1",10,578,28,28,24,176,16,150,210,36,90,4,222,12,148,24,148,66,158,0,48,8,43,28,40,69,25,76,30,12
"Cdca8",332,1840,194,2308,196,242,218,2832,620,250,564,20,546,76,350,72,650,244,904,42,250,1814,1006,1580,1576,2695,1161,2895,1626,3351
"Grik3",2,490,4,922,2,284,12,976,12,10,6,18,10,4,0,16,0,80,0,26,16,324,2,124,13,1921,0,1630,15,649
"Eif2c4",220,220,86,438,88,60,134,288,234,12,160,44,152,4,128,8,154,80,216,76,149,308,110,173,73,532,116,792,83,251
"Clspn",152,654,20,698,34,340,156,1054,386,62,236,92,62,16,78,136,324,190,450,4,71,426,181,392,304,947,152,1126,205,1043
"Trim62",34,152,22,400,58,104,34,616,80,40,68,14,22,14,18,64,16,12,28,60,2,259,11,266,41,476,41,959,36,164
"Hpca",66,44,6,22,24,164,12,18,66,356,96,542,36,242,22,274,18,210,104,692,22,941,36,1433,13,201,27,329,19,430
"Marcksl1",74,2186,242,1686,56,1186,120,2356,52,80,58,94,20,14,56,102,108,458,58,34,124,2670,207,1855,65,1729,100,1627,240,3851
"Bai2",2,308,4,362,0,124,0,374,2,52,0,12,4,20,6,28,2,42,4,6,1,190,2,143,6,290,0,240,6,259
"Col16a1",16,1032,30,1446,24,316,42,694,4,38,0,42,0,10,0,22,22,166,0,20,13,519,13,361,5,780,4,871,16,790
"Fabp3",32,16,72,24,122,60,144,36,6,70,28,74,8,52,20,48,92,34,20,240,152,144,109,175,80,143,136,151,175,217
"Nkain1",0,176,6,202,12,166,10,428,2,46,0,32,6,8,8,14,20,52,20,18,2,296,0,187,7,463,1,331,12,669
"Sesn2",252,370,330,224,106,108,232,402,88,54,22,80,118,44,130,28,46,4,78,14,340,255,460,107,316,252,210,185,444,390
"Fgr",2772,18,5336,8,2022,132,4950,4,500,102,384,148,228,78,226,66,726,128,464,2,5808,256,4021,62,4805,59,7362,43,4030,98
"Nr0b2",10,0,14,0,14,0,4,0,32,0,44,16,38,0,46,0,50,12,78,10,53,0,51,0,69,0,48,1,20,0
"Gpn2",64,116,70,128,58,62,84,190,80,46,54,56,64,14,100,14,50,6,48,46,79,108,241,41,150,181,87,131,276,302
"Ubxn11",66,28,60,26,44,362,52,20,62,900,60,624,62,168,6,362,56,72,58,1136,30,125,30,65,75,63,79,69,126,14
"Runx3",262,0,682,4,40,580,208,26,62,742,20,558,12,372,18,390,36,0,50,2,87,2,204,8,291,19,618,1,205,58
"Id3",202,5930,228,1744,56,1410,136,992,64,2746,54,3150,14,2276,48,1660,28,580,60,5706,59,2764,61,3106,47,1607,110,1251,58,1126
"Zbtb40",120,300,74,282,122,170,146,264,114,90,96,128,132,6,34,50,114,2,196,70,338,105,253,451,279,365,208,325,418,553
"Rap1gap",44,1634,46,1156,28,378,54,1120,40,40,20,54,56,38,82,32,50,80,52,186,43,1092,69,482,16,742,22,635,32,885
"Pla2g5",18,48,14,26,6,106,0,12,20,1298,0,618,0,182,20,296,4,64,10,2920,0,181,18,361,9,227,18,135,0,38
"Klhdc7a",24,6,22,12,0,90,12,8,28,336,46,146,26,70,22,144,2,16,52,544,5,100,0,56,11,24,3,10,0,0
"Igsf21",26,600,8,906,0,210,0,1014,8,86,26,34,6,94,8,34,6,44,4,150,1,659,16,360,3,288,2,308,0,355
"B330016D10Rik",2,28,2,12,4,18,6,20,12,14,12,14,16,4,14,10,10,4,14,20,7,23,18,89,8,12,14,15,8,48
"Tmem82",48,12,20,16,46,0,58,2,10,0,26,4,8,0,56,8,6,0,10,0,78,4,35,0,26,1,67,3,94,0
"Tmem51",608,88,672,242,396,188,620,198,150,228,40,96,128,90,66,126,72,20,54,284,161,18,68,123,266,322,498,172,195,144
"Gm13139",8,0,6,0,10,6,4,2,2,2,6,12,6,2,2,6,2,2,4,4,6,7,7,4,26,6,15,10,10,3
"Fv1",28,188,46,356,38,66,42,304,56,126,56,110,64,4,16,34,30,10,58,50,18,152,72,129,106,306,119,423,108,250
"Ptchd2",6,180,50,528,34,114,32,596,6,28,2,12,0,4,2,64,0,8,6,16,1,1065,13,137,6,273,2,978,9,388
"Angptl7",574,26,256,14,1270,62,936,12,654,268,368,186,900,172,534,338,576,46,496,160,3396,16,2793,59,2812,339,3100,47,852,16
"Apitd1",74,126,54,136,24,54,54,242,72,40,114,28,6,2,42,16,176,32,112,10,61,165,134,194,184,310,206,305,304,245
"Slc2a5",812,4,1100,4,1058,48,3116,32,4022,148,2954,60,2328,120,2466,128,3414,414,4108,48,23314,105,23615,526,21513,338,20810,134,18661,263
"Errfi1",280,1136,448,846,202,146,188,770,140,110,190,20,234,26,150,112,190,64,264,114,177,636,441,211,144,188,318,228,317,267
"Gpr153",74,136,18,152,42,32,72,96,6,14,4,38,20,26,4,22,12,10,8,26,201,94,63,65,33,51,54,153,41,55
"Vwa1",26,340,60,576,4,154,6,294,16,10,16,94,8,14,10,38,0,52,6,64,0,243,17,269,17,208,3,259,61,447
"Fam132a",22,74,20,34,16,10,6,30,34,356,36,206,22,52,40,120,0,60,8,1090,38,3,15,8,13,36,19,44,12,68
"Tnfrsf18",234,116,278,80,10,1244,12,90,2,596,2,976,6,320,2,930,2,14,8,4,48,80,13,61,52,221,76,266,51,120
"9430015G10Rik",360,474,164,314,186,128,228,516,322,134,272,186,198,48,102,138,238,2,518,28,374,212,265,213,654,583,648,872,335,246
"Agrn",128,3212,104,2824,90,662,102,3416,162,238,116,160,122,186,84,92,40,224,98,90,256,1711,210,369,168,3411,186,5165,114,1621
"Steap1",28,30,20,54,0,22,0,6,6,2094,16,1178,0,312,0,472,0,66,12,5454,1,46,0,103,0,62,0,25,3,65
"Abcb4",44,50,58,36,116,70,32,88,308,18,182,98,424,62,240,34,288,28,314,56,186,38,289,12,174,98,308,212,134,9
"Sema3d",92,8876,42,10476,6,1300,78,7430,22,228,10,494,2,260,4,296,10,464,2,116,4,2068,10,303,17,7199,10,9332,41,1192
"Cacna2d1",6,508,0,484,4,74,10,406,16,40,2,48,2,10,0,62,2,34,0,68,5,229,10,144,9,588,9,762,19,210
"Ccdc146",22,6,26,10,32,10,30,30,28,56,42,76,54,18,22,24,24,24,36,102,4,6,29,26,67,98,70,130,9,24
"Lhfpl3",152,11314,108,8948,86,2928,146,9790,34,298,8,128,20,134,12,130,6,1000,6,200,32,6624,37,2189,27,12375,33,16393,46,6020
"AI506816",114,252,100,284,34,64,110,342,106,26,126,26,42,4,80,22,94,18,150,18,120,187,248,72,414,554,231,353,224,222
"Xrcc2",248,358,68,682,154,200,140,790,114,154,262,122,86,6,90,70,166,62,250,20,155,564,171,346,516,1183,355,1083,452,460
"Dpp6",36,2250,80,1948,64,548,42,1562,40,152,44,78,30,92,20,112,10,202,16,64,63,1322,71,497,18,1494,20,2605,51,540
"Fam59b",8,72,0,184,2,74,6,318,2,24,0,6,2,2,0,12,0,8,0,20,1,68,4,79,2,302,2,295,2,387
"Sh3tc1",1404,18,770,2,1084,20,1004,4,770,62,558,128,728,12,406,50,688,110,882,32,3656,142,2072,3,1736,38,1997,1,2305,4
"Sorcs2",24,868,6,1466,4,216,8,688,10,84,0,146,0,38,14,32,0,58,24,34,2,375,2,55,10,877,9,1512,3,807
"Nsg1",198,7938,242,8892,122,2138,150,7906,160,372,90,370,86,164,58,244,60,404,70,430,115,6267,83,3912,217,11101,154,11185,129,5745
"Cd38",840,552,1554,1018,180,768,1136,396,250,1720,6,1130,4,288,18,632,6,28,28,146,297,205,305,524,494,271,4030,296,1524,147
"Fgfbp1",0,20,0,2,0,12,0,22,0,110,0,100,0,184,0,82,0,44,0,62,0,0,0,6,0,15,0,7,1,34
"Ncapg",284,1310,52,1090,100,222,146,1536,488,164,436,166,212,52,150,84,318,70,448,22,60,334,335,541,858,1408,643,1345,606,1104
"Pcdh7",54,1352,52,1484,44,724,50,2210,80,472,6,700,6,412,2,276,6,276,20,604,78,1086,29,694,4,1035,7,1946,12,1069
"Arap2",90,566,204,1532,118,1450,306,4342,52,966,42,1060,14,584,22,650,80,222,78,304,111,1133,134,937,346,2149,312,2877,155,1514
"3110047P20Rik",0,54,8,102,18,22,0,44,0,4,0,4,4,2,0,2,0,6,0,4,0,29,0,3,1,50,0,164,2,29
"Rbm47",2134,58,2370,40,1982,164,3188,12,1870,1610,1148,1072,1706,328,774,462,1546,220,1780,4562,2708,114,2732,67,6448,179,7043,53,3412,185
"Lnx1",30,930,68,2094,52,434,74,3552,54,92,54,80,40,26,18,88,16,170,28,108,53,1564,52,590,117,4560,89,4645,71,1564
"Pdgfra",156,23748,552,42020,80,5812,310,52200,152,1340,14,612,12,402,2,568,16,2074,6,1260,107,24014,64,5597,217,73327,92,93173,133,25467
"Kit",2040,316,2862,1464,210,314,370,2242,28,116,10,126,6,2,4,138,14,74,12,308,146,652,145,365,699,1777,1375,2317,421,501
"C530008M17Rik",26,516,34,796,32,488,6,990,18,72,16,56,16,76,12,32,20,112,10,28,10,698,33,810,14,781,10,1078,3,664
"Lphn3",28,3168,34,2750,4,748,24,4018,28,76,4,232,12,74,0,134,0,76,12,100,10,1070,9,255,34,4294,6,4305,30,1430
"Stap1",136,4,162,0,24,152,110,2,6,156,38,252,20,170,8,82,16,0,20,2,74,1,33,4,38,4,92,2,96,5
"Mthfd2l",0,64,14,50,0,34,18,90,6,10,28,6,4,4,4,14,0,4,18,24,3,62,1,81,9,164,7,106,11,46
"Naaa",3088,48,3730,34,1254,272,1836,22,2816,786,2328,848,1736,378,1824,580,1690,244,2668,1514,1831,133,3681,231,6479,262,3924,72,3285,92
"Cxcl9",324,20,810,22,792,52,160,6,172,72,28,2,28,12,12,2,20,8,36,0,116,1,51,1,1373,15,200,1,47,0
"Cxcl11",20,30,266,38,90,0,130,0,36,28,34,0,10,0,6,2,20,2,20,2,62,0,41,2,474,12,109,11,32,0
"Stbd1",10,0,30,14,46,58,60,0,112,0,132,8,86,30,110,44,50,26,182,0,30,1,18,76,33,6,28,2,39,1
"Cxcl13",11116,16,6776,12,10540,506,62236,42,13826,712,38104,1842,21452,950,44852,3846,83394,8810,39692,2038,20513,465,52816,2746,103877,3362,49387,216,546,73
"Prkg2",24,802,8,954,6,752,2,1144,8,30,20,42,10,64,0,66,0,200,4,24,38,789,18,658,10,1822,3,2243,24,539
"Plac8",1138,36,2148,30,262,626,936,2,1176,218,90,442,150,162,64,238,90,0,58,10,643,43,706,89,6033,154,4637,30,1767,127
"Hpse",634,0,788,0,1904,76,1272,0,32,10,12,150,14,6,16,12,70,16,14,0,202,53,268,5,260,31,391,3,475,2
"D930016D06Rik",118,402,82,350,134,154,72,306,234,78,124,58,192,64,84,28,78,30,98,4,54,81,83,61,322,622,168,550,76,136
"Gbp8",160,0,140,14,276,302,36,4,72,648,6,314,40,164,12,146,6,0,4,52,25,1,17,0,670,103,137,8,17,3
"Gbp6",150,356,168,228,174,336,164,26,42,446,20,352,90,174,2,234,12,28,28,38,9,5,30,43,910,544,286,65,1,1
"Lrrc8b",32,188,52,264,62,70,30,320,36,28,52,36,10,16,30,8,26,32,30,50,3,50,43,14,44,227,36,282,63,35
"Lrrc8c",404,364,606,370,240,508,282,390,186,920,68,724,84,288,48,394,48,44,116,134,195,329,320,122,188,192,425,147,182,239
"Brdt",16,362,12,108,22,178,32,156,48,90,38,32,28,2,22,22,18,18,44,26,14,143,29,161,34,318,30,410,10,172
"Ccdc18",62,290,24,134,36,46,26,238,114,58,112,110,96,2,36,22,30,8,110,8,9,59,42,103,148,209,79,274,74,135
"LOC100642166",28,84,40,60,14,76,32,134,46,26,46,36,56,8,4,14,8,10,22,8,13,12,14,24,46,112,54,178,25,26
"Zfp605",84,328,180,182,50,120,80,210,144,14,72,18,92,90,94,42,38,20,106,20,47,73,78,90,119,327,110,297,56,100
"Pole",500,626,76,614,74,234,196,1012,328,218,284,134,106,4,198,60,456,86,594,4,115,175,316,97,853,1188,526,971,601,487
"Chek2",638,536,284,356,312,80,466,512,412,48,342,104,296,20,292,52,294,36,478,22,804,275,762,329,924,757,1191,629,960,761
"Srrd",78,14,68,24,46,24,86,34,70,2,32,14,34,26,66,6,72,6,80,2,107,62,293,72,230,27,233,43,254,81
"Asphd2",4,80,18,104,16,118,0,166,2,2,6,62,10,4,0,30,4,62,4,62,28,184,3,94,15,306,4,434,29,276
"Sez6l",48,1076,36,366,24,250,24,904,34,26,4,86,8,18,10,46,4,32,56,98,28,460,6,121,33,729,25,1158,12,257
"Rnft2",0,192,8,198,14,62,10,190,22,8,10,2,8,26,2,6,4,30,14,16,2,77,3,20,21,228,11,443,7,108
"Fam109a",40,172,42,122,40,60,16,160,24,6,42,22,16,14,10,22,10,32,24,30,100,15,60,29,34,133,40,159,53,201
"Cux2",4,164,0,100,14,62,2,156,22,28,2,46,12,6,2,2,10,8,10,84,18,156,1,165,19,151,7,93,16,89
"Myl2",22,8,10,0,22,0,28,2,104,0,60,0,52,0,66,4,66,2,42,8,63,1,42,0,83,5,104,5,79,3
"Niacr1",1142,2,5290,0,1030,28,2086,0,146,0,86,2,30,0,46,0,230,22,24,4,5177,39,5283,228,11148,170,5594,26,6341,76
"Hip1r",196,728,272,696,36,546,98,816,24,388,26,308,24,62,20,268,36,120,26,138,116,1214,71,163,28,965,44,938,52,1130
"Cdk2ap1",38,196,34,282,24,96,42,332,76,36,72,40,60,24,62,32,70,52,54,28,74,379,108,292,68,610,53,490,78,632
"Fam101a",2,242,56,2266,8,54,34,1302,6,26,12,2,6,14,4,4,16,44,6,8,9,862,16,658,3,791,8,630,19,1844
"Tmem132b",66,2224,56,1070,22,394,6,1078,14,30,28,34,4,24,0,56,0,68,8,20,4,563,5,108,4,1389,3,3199,11,259
"Zfp11",128,494,112,466,150,138,182,280,182,100,186,32,208,2,206,116,66,60,182,52,198,160,167,203,349,535,341,404,148,262
"2410018M08Rik",68,68,18,110,86,48,92,88,174,2,154,62,92,36,70,6,126,26,170,20,67,40,116,123,98,117,31,60,59,47
"Clip2",172,360,286,750,244,176,250,596,132,54,136,14,154,18,94,22,88,32,156,16,416,504,455,321,282,428,236,626,303,393
"Hip1",478,3670,1646,11786,170,2728,494,11652,152,794,82,596,94,276,78,438,74,658,122,362,326,5642,348,7057,773,10898,801,11050,1215,5087
"Srrm3",6,58,0,38,0,40,0,26,2,12,0,12,0,8,0,6,0,14,0,16,1,57,1,75,0,43,0,43,8,17
"Pilra",1274,26,3602,6,1684,52,3214,18,5436,208,6464,234,2984,92,2938,284,3706,390,7348,170,1240,14,2405,76,1923,49,3164,48,2609,106
"Pilrb1",224,0,286,0,62,16,238,0,50,6,42,72,12,4,20,24,18,0,40,0,137,0,86,1,187,1,330,1,202,0
"Pilrb2",164,0,194,0,108,2,214,0,68,0,26,16,20,6,18,4,74,0,52,0,92,0,82,6,129,2,324,1,176,0
"Gjc3",166,6014,100,2438,34,2430,174,4204,48,278,30,282,6,196,28,186,24,540,20,298,20,1250,7,476,25,4906,18,3478,21,748
"Mblac1",38,60,10,60,22,36,10,76,46,46,56,14,32,36,34,2,34,8,60,26,79,44,52,0,20,96,19,52,14,57
"Fam20c",1000,56,2432,196,788,44,1504,236,118,42,196,30,88,42,164,42,542,150,108,30,1749,144,2231,51,430,146,166,194,858,311
"Elfn1",0,162,0,280,0,94,0,404,4,52,0,14,0,6,0,34,0,38,4,44,0,96,2,71,3,247,0,267,0,376
"Amz1",1316,1594,804,2118,1358,436,1514,1972,962,92,1148,14,1018,6,776,50,794,248,968,10,4329,1782,3360,1062,1927,2129,3114,3398,3418,1958
"Card11",400,8,624,8,124,292,236,98,52,688,28,642,102,280,46,256,40,4,28,8,303,8,451,1,329,21,606,33,607,8
"Fscn1",1024,3308,1502,4466,778,1122,2412,4544,202,112,356,144,306,90,194,160,950,540,656,122,6755,2699,4385,2729,406,1452,1875,1365,3556,4438
"Lmtk2",132,216,228,1496,58,166,128,1456,24,254,24,176,14,82,2,106,6,36,30,154,51,274,68,206,125,2621,74,2088,91,1119
"Baiap2l1",62,40,48,16,84,16,64,2,208,368,122,248,196,60,68,74,70,30,114,502,28,6,83,3,96,34,53,40,23,13
"Zfp498",6,10,10,18,18,4,4,16,14,4,26,4,16,2,16,2,12,2,6,4,7,6,10,35,7,10,2,9,11,12
"Flt1",1044,176,934,372,578,90,746,226,52,38,56,120,34,46,20,68,50,0,54,28,95,31,91,97,164,227,57,176,14,139
"Mtus2",42,4,18,8,0,16,88,6,28,84,8,66,88,28,30,78,38,32,78,52,82,97,52,21,61,77,131,88,148,50
"Alox5ap",7454,34,9290,14,1436,172,4592,14,4882,174,3800,172,3882,124,3632,290,3328,414,4434,200,6731,219,10145,351,14033,367,16043,124,17397,518
"Kl",44,378,48,24,24,216,0,2,30,8774,18,5592,20,1074,10,2434,22,470,50,28510,1,1,0,6,0,60,5,6,8,82
"Samd9l",944,524,2092,884,226,932,580,114,100,714,36,1576,128,486,54,524,30,40,44,134,281,147,88,198,2291,1226,2301,549,507,41
"Peg10",10,120,14,120,18,58,20,176,18,8,22,38,12,4,24,2,18,10,52,16,24,45,72,73,50,117,57,138,111,44
"Pon3",4944,68,3532,20,6562,318,9310,38,6044,1536,7700,774,5072,332,4776,742,6570,688,7634,2818,7651,153,9129,282,10091,342,12799,81,8408,363
"Asb4",52,20,100,14,84,2,196,12,12,68,42,2,4,0,8,4,26,0,8,0,112,1,41,52,189,17,440,8,201,24
"Dync1i1",12,6,0,32,0,30,0,4,10,270,0,150,14,108,0,90,0,86,4,304,0,90,11,109,18,93,5,152,27,30
"Nxph1",48,2018,46,2888,16,650,12,2560,12,36,4,58,4,46,0,38,0,74,0,52,4,1574,2,233,3,1410,1,2692,17,742
"Tfec",216,0,106,0,46,6,68,0,48,0,4,0,2,0,12,0,10,0,2,0,1,6,5,1,206,2,181,0,123,1
"Cttnbp2",4,1698,60,1290,46,630,42,1652,14,104,4,122,0,44,4,60,6,218,2,110,17,850,39,768,22,1831,13,3298,45,705
"Kcnd2",46,2802,26,2376,8,838,20,2796,26,186,0,174,24,76,2,140,2,188,18,128,14,1232,23,534,15,4417,0,4479,15,1413
"A430107O13Rik",68,2104,84,894,114,60,102,546,40,218,30,302,16,256,6,172,42,90,20,176,18,58,36,5,57,339,155,147,77,1
"Lrrc4",38,526,64,408,54,182,80,632,12,42,20,12,2,20,14,24,10,74,14,84,32,485,73,286,121,639,158,714,107,386
"Impdh1",72,146,130,224,24,202,112,466,12,210,38,200,8,176,2,174,28,70,42,56,147,225,180,555,59,214,85,112,297,212
"Tspan33",28,14,40,4,88,22,72,18,360,250,224,112,172,64,150,122,232,64,204,750,180,3,223,27,106,13,66,13,63,5
"Fam40b",112,84,220,46,4,50,10,46,212,1000,20,702,96,246,22,380,108,62,128,1336,2,15,0,6,45,99,22,66,16,84
"Cald1",118,4274,148,3268,62,1056,100,2704,14,1010,12,1074,8,944,4,874,20,416,14,1146,91,1931,122,3167,22,2368,28,2850,48,2213
"Slc13a4",42,238,34,74,0,78,0,20,2,2198,2,1078,8,730,0,598,2,56,2,5054,13,2,0,2,7,174,1,53,4,12
"Dgki",6,68,24,146,4,40,2,114,0,16,0,38,4,4,0,6,0,10,2,10,3,89,4,51,7,186,7,174,41,30
"D630045J12Rik",14,1268,26,594,14,158,18,708,16,8,12,132,4,48,8,48,42,56,0,52,34,323,56,58,49,765,30,1117,79,186
"Clec2l",0,38,10,68,14,36,8,90,10,14,10,26,2,2,4,26,0,10,20,22,0,186,75,93,19,116,10,187,19,90
"Tbxas1",4494,20,3828,6,3170,86,5452,4,4386,172,4354,94,2524,86,2256,150,3416,238,5418,158,11174,160,9775,145,15344,347,13556,107,11828,158
"Gpnmb",2332,134,2720,156,2464,84,8376,82,12,84,36,40,24,14,28,16,1318,110,8,130,2851,154,1190,511,2163,688,3285,1019,3671,1059
"Jazf1",148,484,146,558,66,184,98,636,60,160,76,66,62,18,112,44,48,38,92,50,7,147,76,350,135,1005,138,1043,110,577
"Pde1c",36,788,22,234,20,522,28,584,2,14,14,10,22,80,0,46,24,30,2,116,29,611,1,340,9,229,12,530,45,312
"Tnip3",606,0,698,0,72,16,334,8,8,104,68,4,12,0,28,42,66,2,4,4,101,77,35,118,169,17,104,5,66,72
"Gadd45a",222,408,310,154,192,74,234,100,44,50,32,30,34,12,18,12,98,14,34,30,62,42,29,114,57,105,97,88,48,177
"Dnahc6",0,2,4,14,0,2,2,2,0,94,14,32,0,22,0,16,0,8,0,182,8,10,0,2,6,8,0,7,42,0
"Lrrtm1",8,492,12,158,16,128,0,580,30,20,12,22,2,8,0,24,0,18,6,26,0,436,1,127,0,427,1,676,0,124
"Lrrtm4",4,1660,42,880,4,246,0,952,6,70,0,46,6,4,0,18,0,36,18,108,1,820,6,217,1,1149,2,1805,9,751
"Sema4f",4,42,30,66,2,62,2,42,0,44,4,68,2,10,0,4,0,8,0,2,0,20,0,89,1,38,0,76,0,17
"Fbxo41",46,112,0,84,0,110,2,112,14,100,24,26,0,6,6,22,2,2,12,36,1,123,0,154,9,123,2,108,13,143
"H1fx",0,104,2,54,2,44,0,84,0,12,6,4,2,4,12,14,2,44,4,4,4,71,1,31,5,74,2,49,2,108
"Plxna1",202,476,214,604,26,100,118,892,36,94,4,74,20,58,8,16,44,62,12,108,23,217,70,327,117,721,53,763,79,188
"Kbtbd8",152,502,234,324,156,94,68,310,156,34,176,92,88,20,104,36,108,22,208,40,187,130,115,21,675,502,325,452,220,141
"Chl1",42,2908,134,8436,32,1178,54,6698,22,210,10,142,14,8,4,138,22,524,44,204,6,2050,16,439,30,8794,12,11917,82,4819
"Cntn4",0,2016,16,1916,4,262,12,1320,6,54,0,6,0,16,0,6,2,118,0,56,0,611,36,43,6,2552,6,2628,28,595
"Lrrn1",68,10322,36,1938,2,990,30,2832,12,154,0,64,0,78,0,50,14,406,14,54,4,1405,6,380,10,1527,1,1977,12,1256
"Bhlhe40",6004,998,11104,2844,904,1802,2074,716,122,3100,342,2204,146,926,124,1360,270,182,228,1084,2792,726,1850,1647,3602,5194,8147,5130,4123,2660
"Lhfpl4",24,408,24,524,18,556,16,646,46,64,22,74,38,66,16,20,30,140,48,44,35,1180,26,1401,18,917,9,1125,41,577
"Hrh1",34,140,114,204,22,84,26,178,16,36,20,18,4,18,2,16,0,4,4,10,36,117,0,7,51,304,71,339,53,70
"Plxnd1",766,308,886,232,218,116,510,274,62,88,52,108,114,38,68,62,80,16,108,110,450,195,202,57,284,466,632,447,319,136
